index,name,release_date,summary,meta_score,user_review
3159,Ogre Battle 64,2000-10-07,The Holy Lodis Empire is planning the domination of the entire continent of Zeteginia! It is up to you to raise the flag of revolution and rid the land of the Lodis threat. Make decisions in real-time and take control of numerous characters to prove victorious on the battlefield and regain freedom for all people!,82,8.9
3797,007: The World is Not Enough,2000-11-01,"Experience the intensity of being the world's top secret agent. Equipped with a full arsenal of of Q-Lab gadgets and weaponry, you must be suave, resourceful, and lethal as you carry out action-packed missions based on the blockbuster movie. Are you cool under pressure? Deadly when necessary? Of course you are -- you're Bond...James Bond.",81,7.8
4064,Jet Force Gemini,1999-09-30,"The insect invasion has begun... The galaxy is being infested by the evil Mizar and his horde of Drones. Already, the planet of Goldwood has been subjugated and the peaceful Tribals enslaved. With an arsenal of mega-weapons at their disposal, the Jet Force Gemini team must travel in search of Mizar's lair - rescuing Tribals and splattering Drones all along the way. But can Juno, Vela and their faithful dog, Lupus, exterminate the deadly threat before it's too late?",80,8.7
4212,Starcraft 64,2000-06-13,"In the distant future, a small group of human exiles have been doomed to fight for their survival on the edge of the universe. Three powerful species, the Terrans, Protoss and Zerg, are locked in a fierce battle over the fate of the galaxy. The time for war has come. Manage resources, build armies, devise strategies and master the specialized technologies of each species as you enter a universe of unparalleled tactical excitement. Over 50 single-player missions, including new scenarios specially created for the N64.",80,7.8
4403,Pilotwings 64,1996-09-29,Forget about those other flying games. This is the ultimate flight experience! Pilotwings 64 carries you off into a vast three-dimensional environment. Pilot several different vehicles and take in breathtaking sights! Successfully complete flight tests to earn your flight badge. Get a high enough score and you'll get a chance at bonus games such as Cannonball and Sky Diving! Soar into the wild blue yonder with Pilotwings 64!,80,8.1
5195,Super Smash Bros.,1999-04-26,"It's a Bumpin', Bruisin', Brawlin' Bash! The many worlds of Nintendo collide in the ultimate showdown of strength and skill! Up to four players can choose their favorite characters - complete with signature attacks - and go at it in Team Battles and Free-For-Alls. Or venture out on your own to conquer the 14 stages in single-player mode. Either way, Super Smash Bros. is a no-holds-barred action-fest that will keep you coming back for more!",79,8.7
5250,Mario Party,1999-02-08,"Tensions mount for Mario and pals as each declares himself to be the one true Super Star of Marioland. Face your friends and family in a contest of strength, wits and agility as you explore 6 thriling Adventure Boards. Reveal new levels of gaming excitement as you customize your boards with speed blocks, warp blocks and other specialty items. Jam-packed with all the electricity of an entire arcade, the action comes alive for up to 4 players. So grab your friends and get ready for a wild ride because this party never ends!",79,8.1
5384,Harvest Moon 64,1999-11-30,"In Harvest Moon 64, you'll work hard to make a life for yourself on the run-down farm that you've inherited from your dearly departed grandfather. It will take careful planning and a lot of help from your neighbors to ride out the seasons and succeed as a gentleman farmer. Harvest Moon 64 has all the charm of the original Super Nintendo classic, plus many new surprises.",78,8.8
5750,Pokemon Stadium 2,2001-03-28,Hundreds of Pokémon in Three-mendous 3-D! What's sweeter than victory in a Pokémon battle! Victory in a 3-D arena on the N64™! Set your strategy and stand back while your Pokémon battle it out. You can even set the Pokémon you've trained--fully rendered in 3-D and ready for battle!,78,8.3
5986,Castlevania,1998-12-31,"Take control of Reinhardt Schneider, a whip-toting Vampire Killer who has waited his whole life to meet his destiny, or Carrie Fernandez, a young girl with a strong magical presence who is mysteriously drawn to Dracula's evil Castlevania. It is their duty to seek out Castlevania and put an end to its residents' plans. What is your destiny?",78,7.3
6120,Army Men: Air Combat,2000-07-14,"Pilot one of four toy helicopters through the treacherous terrain of your backyard, the local playground, picnic areas and nearby beaches. Engage in both air-to-air and air-to-ground combat with enemies ranging from battleships to butterflies. Utilize the unique abilities of each 'copter to battle armies of mutant insects; destroy rampaging remote control cars; blow up sand castles; and save Sarge from being melted by kids with magnifying glasses. Real combat. Plastic men.",77,7.4
6252,Turok 3: Shadow of Oblivion,2000-08-30,"Older than time itself, a savage cosmic entity called Oblivion exists only to devour everything in its path. Two new Turok warriors, Danielle and Joseph Fireseed must face this evil. The heritage of Turok and all humankind depends on them. Join the legacy. Over 24 upgradable weapons to battle 40 new and original enemies! Intense multiplayer action - over 8 modes and 48 maps!",77,7
6262,Kirby 64: The Crystal Shards,2000-06-26,"Dart past enemies, soar the skies and swim the depths of the ocean as Kirby takes on Dark Matter in an all-new adventure. Inhale, exhale and swallow your enemies, then copy and combine their abilities and use them as your own! Team up with familiar friends and foes - like Waddle Dee and King Dedede - as you travel through dreamy worlds in search of the lost Crystal Shards.",77,8.2
7464,Forsaken 64,1998-04-30,"An experiment gone wrong ripped away the earth's atmosphere. Bathed in the searching radiation of the sun, the planet has been condemned. You are among the FORSAKEN™ few who invade the now abandoned settlements to collect what little fortune was left behind.",75,7.5
7590,Indiana Jones and the Infernal Machine,2000-12-14,"1947. The nazis have been crushed, the Cold War has begun and Soviet agents are sniffing around an ancient ruin. Grab your whip and fedora and join Indy in a globespanning race to unearth the mysterious ""Infernal Machine"". Survive the challenges of unusual beasts, half the Red Army and more (including - oh no - snakes!) . Puzzle your way through 17 chapters of an action-packed story. Travel the world to exotic locales, from the ruins of Babylon to Egyptian deserts. All the weapons you'll need, including firearms, explosives-and of course Indy's trusty whip and revolver.",75,8
7680,World Driver Championship,1999-05-31,"Your passport to racing! Develop a racing career as you compete for job offers with each of the 15 World Driver Teams. Ten tracks located throughout the world. 20 challenging events spread across two different levels of competition. Over 30 highly detailed, exotic cars with realistic physics and handling! Race head-to-head in two-player split-screen mode. Save replay on the Contoller Pak to analyze your driving skills from multiple camera angles.",75,8.2
8633,Mario Party 3,2001-05-06,"Mario and friends are throwing a party and you're invited. It's their biggest bash yet, with seventy totally new Mini-Games and five brand new adventure boards. You'll be the life of the party as you punch, pound and stampede right over your opponents in a multiplayer melee or go head-to-head in the new two-player duel mode. You can even unlock new characters in the one-player challenge. With so much fun and excitement, this is a bash you'll just have to crash!",74,8.2
8636,Quake,1998-03-24,"Heart-pounding gameplay, spectacular graphics and brain-shattering sound effects - guaranteed to have players jumping out of their skins! Incorporates the ferocity of the single-player game with the ultimate bloodlust of the two-player splitscreen Deathmatch. A true 3D polygonal environment that includes the most horrific creatures to grace a console. Startling dynamic lighting, levels designed by the masters, and an arsenal of the most awesome weaponry to match.",74,7
8843,Body Harvest,1998-09-30,"Earth is dead. Mankind annihilated. Hunted to extinction by a century of alien attacks. One last, desperate chance remains - CHANGE HISTORY. Someone must travel back in time and attack the alien predators before they complete their hideous invasion. Genetically enhanced marine, Adam Drake, must make the trip into the far reaches of Earth's history. His goal - stop the alien body harvest... Travel with Adam Drake through 5 incredible levels of action-packed adventure, spanning more than a century of Earth history!",73,7.9
8991,Duke Nukem 64,1997-10-31,"Duke Nukem's coming to get some! Prepare yourself to become the biggest, baddest, alien basher in the known universe - Duke Nukem; as you blast your way through the streets of LA out to an orbiting station, and onto the moon itself. Bag some aliens with over a dozen hi-tech weapons. 32 levels of non-stop carnage. Run, jump, crawl, swim, and jetpack your way through danger. Big weapons and bigger bosses for a fun-filled fragfest! Four-player, split-screen Dukematch action.",73,7.4
9435,Spider-Man,2000-11-21,"He spins a web, swings across the sky and lands with a somersault onto the Daily Bugle building. Who is this masked hero? It's you! Fight, jump and web-sling as Spider-Man as you take on a legion of sinister villains. The city is depending on you.",72,7.3
10212,Mickey's Speedway USA,2000-11-13,"Buckle up and get ready to race! Rally across America with Mickey and friends! Race around 20 All-American courses - from Alaska to the Everglades - as you try to track down the Weasels and rescue poor dognapped Pluto. Use Ludwig Von Drake's wacky weapons - such as the ""Antigrav-o-Kit Magno Flyer"" or the ""Stormy Weather Whenever Engager"" - to give you the edge. Then blast past your friends and listen as the drivers taunt each other using Disney's original character voices!",71,7.4
11346,Duck Dodgers Starring Daffy Duck,2000-09-16,"Can you do it, Duck Dodgers? Can you save the Earth? Marvin the Martian has built the Ultimate Weapon to destroy our planet. But there's one small problem: Ultimate Weapons require a lot of energy that Marvin doesn't have. So he sends out his minions to search for energy atoms. It's up to you, Duck Dodgers, savior of the Universe (and master klutz), to stop Marvin before he collects enough atoms to make his diabolical plan a success. We're counting on you!",69,8.3
12619,Mystical Ninja starring Goemon,1998-03-31,"A giant UFO has appeared over Oedo Castle, and the Mystical Ninja is off to save the world again! Control Goemon and his giant robot, Impact, Ebisimaru, a truly twisted ninja, Yae, the part-time militant mermaid, and Sasuke, a mechanical warrior. This brave band must travel from town to town, collecting information and purchasing helpful items in their quest to defeat the dreaded Peach Mountain Shoguns.",67,8.4
13585,Yoshi's Story,1998-03-01,"Baby Bowser has taken the Super Happy Tree and cast a spell on Yoshi's world, turning it into the pages of a picture book. The only Yoshis not affected by the spell were six hatchlings that were still protected by their shells. It's up to them to reclaim the Super Happy Tree and restore happiness to the world. That is the only thing that can break Baby Bowser's spell!",65,7.4
14980,Mission: Impossible,1998-07-18,"Prepare to enter into the most demanding and dangerous Mission Impossible ever. Your mission, should you decide to accept it, will be to guide your team through a spectacular series of authorized worldwide missions encompassing over 20 levels of gameplay. Razor-sharp reflexes, the ability to make quick decisions, strategic thinking and an extremely high level of accuracy will prove essential. As always, should you, or any member of IM Force be caught or killed, the Secretary will disavow any knowledge of your actions. As usual, Ethan Hunt will be your point man. This game will not self-destruct in five seconds, but you may...",61,6.6
16297,"Hey You, Pikachu!",2000-11-05,"For the first time ever, you can actually talk to your favorite Pokemon. Tag along with Pikachu as it goes through its daily routines, taking field trips, going fishing and having picnics, becoming better friends with each passing day. Pikachu will hear and react to the words you say. The more you speak the closer friends you'll be!",57,6.4
16051,PGA European Tour,2000-06-15,"Realism, Authenticity, Sophistication and a European Touch! Play on four authentic European golf courses. Compete in European Tour and six non-tour modes. Genuine commentaries from BBC's famous Peter Allis. Go head-to-head with 64 established European stars. Realistic sound and weather effects. A true golf simulation with simple and intuitive feel.",58,8
16298,NFL QB Club 2001,2000-08-23,"All 31 NFL teams and 1,500 NFL players. Create and manage your own team. 31 team-specific playbooks or create your own. Play-by-play from Mike Patrick and Randy Cross. Precision artificial intelligence for real NFL gameplay. All-new Shoulder Charge feature for busting through defenders. Replay key moments of all 34 Super Bowls. All-new E-Z pass/catch controls. Incredibly detailed player models. Game speed maximized for the N64!",57,7.5
16715,Teenage Mutant Ninja Turtles (2003),2003-11-25,"Be your favorite Teenage Mutant Ninja Turtle and master your ultimate ninja skills in their action packed world. Roam NYC streets, scour underground sewers and fight your way across rooftops on a collision course with The Shredder and his vile pack of Foot Ninjas. Master ninja butt-kickin' skills in action-based gameplay. Discover scrolls and items to unlock special attack moves and effects. Interact with characters such as Splinter and Casey Jones . Faithful representation of the FoxBox's TMNT animated series. [Konami]",55,7.6
17101,Classic NES Series: Pac-Man,2004-06-02,"Now you can find out what made Pac-Man an icon of the 1980s and an icon of video game culture. In this NES Classics game, Pac-Man gets to do what he does best: chomp pellets and ghosts. You'll maneuver Pac-Man through a maze filled with pellets, fruit, power pellets, and ghosts. Your enemies--Blinky, Pinky, Clyde, and Inky--aren't very smart, but they move faster as the game progresses. Two players can take turns mastering the maze, either on the same Game Pak or through the Game Boy Advance Game Link Cable.",53,8.6
18094,Call of Juarez: The Cartel,2011-07-19,Call of Juarez: The Cartel is the third game from the Call of Juarez series.,45,5.3
18461,RollerCoaster Tycoon 3D,2012-10-16,"The next installment of the hit RollerCoaster Tycoon franchise is hereand this time, its in 3D! Meet the Rocket Coaster Company, an energetic and small group of coaster fanatics. Run by your father, a world-renowned roller coaster genius, the RCC is poised to change the world with its incredible designs and style. Unfortunately your father is a bit of a scatterbrain and is far too busy dreaming up new rides and roller coasters to get the company off the ground. This is where you, the player comes in as your father has decided that spending your time helping him out is more important than your summer vacation! Aided by a friend of the family and an old retired theme park industry veteran, the player is tasked to take the reins to get a foothold in the theme park world. Take on jobs, help design coasters, and even manage your own theme parks as you push the RCC to the top!",39,2.6
